category,crime,gainingType,gainings,group,id,nerveUsed,nnb,outcome,status
drug_deals,cocaine,money,791,drugs,13955,8,35,success,success
drug_deals,amphetamines,money,811,drugs,13956,8,35,success,success
drug_deals,cocaine,money,830,drugs,13957,8,35,success,success
drug_deals,amphetamines,,,drugs,13958,8,35,jail,error
drug_deals,cocaine,money,886,drugs,13959,8,35,success,success
drug_deals,cocaine,money,869,drugs,13960,8,35,success,success
drug_deals,cocaine,money,781,drugs,13961,8,35,success,success
drug_deals,cocaine,money,851,drugs,13962,8,35,success,success
drug_deals,cocaine,money,786,drugs,14094,8,35,success,success
drug_deals,cocaine,money,890,drugs,14095,8,35,success,success
drug_deals,cocaine,money,799,drugs,14096,8,35,success,success
drug_deals,cocaine,money,899,drugs,14097,8,35,success,success
drug_deals,cocaine,money,762,drugs,14098,8,35,success,success
drug_deals,cocaine,money,801,drugs,14099,8,35,success,success
drug_deals,cocaine,money,853,drugs,14100,8,35,success,success
drug_deals,cocaine,money,890,drugs,14101,8,35,success,success
drug_deals,cocaine,money,873,drugs,14149,8,35,success,success
drug_deals,cocaine,money,846,drugs,14150,8,35,success,success
drug_deals,cocaine,money,792,drugs,14151,8,35,success,success
drug_deals,cocaine,money,820,drugs,14152,8,35,success,success
drug_deals,cocaine,money,782,drugs,14153,8,35,success,success
drug_deals,cocaine,money,871,drugs,14165,8,35,success,success
drug_deals,amphetamines,money,728,drugs,14166,8,35,success,success
drug_deals,cocaine,money,772,drugs,14179,8,35,success,success
drug_deals,cocaine,money,862,drugs,14180,,35,success,success
drug_deals,amphetamines,money,823,drugs,14207,8,35,success,success
drug_deals,drugscocaine,,,drugs,14342,8,35,blue,ready
drug_deals,drugspills,,,drugs,14343,8,35,blue,ready
drug_deals,drugscanabis,money,640,drugs,14344,8,35,success,success
drug_deals,drugscocaine,money,632,drugs,14345,8,35,success,success
drug_deals,drugspills,money,488,drugs,14359,8,35,success,success
drug_deals,drugscocaine,money,649,drugs,14360,8,35,success,success
drug_deals,cocaine,money,871,drugs,14443,8,35,success,success
drug_deals,amphetamines,money,761,drugs,14444,8,35,success,success
drug_deals,drugscocaine,,,drugs,14445,8,35,blue,ready
drug_deals,drugspills,money,514,drugs,14446,8,35,success,success
drug_deals,drugscanabis,,,drugs,14447,8,35,blue,ready
drug_deals,cocaine,money,864,drugs,14448,8,35,success,success
drug_deals,amphetamines,money,682,drugs,14449,8,35,success,success
drug_deals,cannabis,,,drugs,14450,8,35,jail,error
drug_deals,drugscocaine,money,563,drugs,14451,8,35,success,success
drug_deals,drugspills,money,573,drugs,14452,8,35,success,success
drug_deals,drugscanabis,money,645,drugs,14453,8,35,success,success
drug_deals,cannabis,,,drugs,14454,8,35,blue,ready
drug_deals,amphetamines,,,drugs,14455,8,35,blue,ready
drug_deals,cocaine,,,drugs,14456,8,35,blue,ready
drug_deals,drugscanabis,,,drugs,14457,8,35,blue,ready
drug_deals,drugspills,,,drugs,14458,8,35,blue,ready
drug_deals,cocaine,money,844,drugs,14491,8,35,success,success
drug_deals,drugscanabis,,,drugs,14499,8,35,blue,ready
drug_deals,drugscanabis,money,578,drugs,14500,8,35,success,success
drug_deals,cocaine,money,892,drugs,14504,8,35,success,success
drug_deals,amphetamines,,,drugs,14542,8,35,blue,ready
drug_deals,amphetamines,money,705,drugs,14624,8,35,success,success
drug_deals,amphetamines,money,738,drugs,14625,8,35,success,success
drug_deals,amphetamines,money,698,drugs,14626,8,35,success,success
drug_deals,amphetamines,,,drugs,14627,8,35,blue,ready
drug_deals,amphetamines,money,835,drugs,14628,8,35,success,success
drug_deals,amphetamines,money,770,drugs,14629,8,35,success,success
drug_deals,cocaine,money,887,drugs,14662,8,35,success,success
drug_deals,cocaine,money,789,drugs,14663,8,35,success,success
drug_deals,amphetamines,money,843,drugs,14758,8,35,success,success
drug_deals,amphetamines,money,710,drugs,14759,8,35,success,success
drug_deals,amphetamines,money,668,drugs,14760,8,35,success,success
drug_deals,amphetamines,,,drugs,14761,8,35,blue,ready
drug_deals,amphetamines,money,785,drugs,14762,8,35,success,success
drug_deals,amphetamines,money,836,drugs,14763,8,35,success,success
drug_deals,amphetamines,money,705,drugs,14764,8,35,success,success
drug_deals,amphetamines,money,766,drugs,14786,8,35,success,success
drug_deals,amphetamines,money,760,drugs,14787,8,35,success,success
